1: Homo_sapiens
303: Aliiroseovarius_crassostreae
304: Aliiroseovarius_sediminilitoris
305: Aliivibrio_salmonicida
306: Aliivibrio_wodanis
307: Alishewanella_agri
308: Alistipes_finegoldii
309: Alistipes_ihumii
310: Alistipes_indistinctus
311: Alistipes_inops
312: Alistipes_obesi
313: Alistipes_putredinis
314: Alistipes_senegalensis
315: Alistipes_shahii
316: Alistipes_timonensis
317: Aliterella_atlantica
318: Alkalibacillus_haloalkaliphilus
319: Alkalibacterium_gilvum
320: Alkalibacterium_pelagium
321: Alkalibacterium_subtropicum
322: Alkalibacter_saccharofermentans
323: Alkaliflexus_imshenetskii
324: Alkalilimnicola_ehrlichii
325: Alkalimonas_amylolytica
326: Alkaliphilus_metalliredigens
327: Alkaliphilus_oremlandii
328: Alkaliphilus_peptidifermentans
329: Alkaliphilus_transvaalensis
330: Alkalispirochaeta_alkalica
331: Alkalispirochaeta_americana
332: Alkalispirochaeta_odontotermitis
333: Alkalitalea_saponilacus
334: Alkanindiges_illinoisensis
335: Allisonella_histaminiformans
336: Alloactinosynnema_album
337: Alloactinosynnema_iranicum
338: Allobaculum_stercoricanis
339: Allochromatium_vinosum
340: Allochromatium_warmingii
341: Allofrancisella_guangzhouensis
342: Allofustis_seminis
343: Alloiococcus_otitis
344: Allokutzneria_albata
345: Alloprevotella_rava
346: Alloprevotella_tannerae
347: Allosalinactinospora_lopnorensis
348: Alloscardovia_criceti
349: Alloscardovia_macacae
350: Alloscardovia_omnicolens
351: Altererythrobacter_atlanticus
352: Altererythrobacter_dongtanensis
353: Altererythrobacter_epoxidivorans
354: Altererythrobacter_ishigakiensis
355: Altererythrobacter_marensis
356: Altererythrobacter_namhicola
357: Altererythrobacter_troitsensis
358: Altererythrobacter_xiamenensis
359: Alteribacillus_bidgolensis
360: Alteribacillus_iranensis
361: Alteribacillus_persepolensis
362: Alteromonas_australica
363: Alteromonas_confluentis
364: Alteromonas_lipolytica
365: Alteromonas_macleodii
366: Alteromonas_stellipolaris
367: Altibacter_lentus
368: Alysiella_crassa
369: Amantichitinum_ursilacus
370: Aminiphilus_circumscriptus
371: Aminobacter_aminovorans
372: Aminobacterium_colombiense
373: Aminobacterium_mobile
374: Aminomonas_paucivorans
375: Ammonifex_degensii
376: Amorphus_coralli
377: Amphibacillus_jilinensis
378: Amphibacillus_marinus
379: Amphibacillus_sediminis
380: Amphibacillus_xylanus
381: Amphiplicatus_metriothermophilus
382: Amphritea_atlantica
383: Amphritea_japonica
384: Amycolatopsis_australiensis
385: Amycolatopsis_balhimycina
386: Amycolatopsis_benzoatilytica
387: Amycolatopsis_halophila
388: Amycolatopsis_japonica
389: Amycolatopsis_jejuensis
390: Amycolatopsis_marina
391: Amycolatopsis_mediterranei
392: Amycolatopsis_methanolica
393: Amycolatopsis_nigrescens
394: Amycolatopsis_rubida
395: Amycolatopsis_saalfeldensis
396: Amycolatopsis_sacchari
397: Amycolatopsis_taiwanensis
398: Amycolatopsis_xylanica
399: Anabaena_cylindrica
400: Anaeroarcus_burkinensis
401: Anaerobacillus_alkalilacustris
402: Anaerobacillus_arseniciselenatis
403: Anaerobacillus_macyae
404: Anaerobiospirillum_succiniciproducens
405: Anaerobium_acetethylicum
406: Anaerobranca_californiensis
407: Anaerococcus_lactolyticus
408: Anaerococcus_mediterraneensis
409: Anaerococcus_obesiensis
410: Anaerococcus_pacaensis
411: Anaerococcus_prevotii
412: Anaerococcus_provencensis
413: Anaerococcus_tetradius
414: Anaerococcus_vaginalis
415: Anaerocolumna_aminovalerica
416: Anaerocolumna_jejuensis
417: Anaerocolumna_xylanovorans
418: Anaerofustis_stercorihominis
419: Anaeroglobus_geminatus
420: Anaerolinea_thermolimosa
421: Anaerolinea_thermophila
422: Anaeromassilibacillus_senegalensis
423: Anaeromyxobacter_dehalogenans
424: Anaerophaga_thermohalophila
425: Anaerorhabdus_furcosa
426: Anaerosalibacter_massiliensis
427: Anaerosphaera_aminiphila
428: Anaerosporobacter_mobilis
429: Anaerosporomusa_subterranea
430: Anaerostipes_caccae
431: Anaerostipes_hadrus
432: Anaerotignum_lactatifermentans
433: Anaerotignum_neopropionicum
434: Anaerotignum_propionicum
435: Anaerotruncus_colihominis
436: Anaerotruncus_rubiinfantis
437: Anaerovibrio_lipolyticus
438: Anaerovirgula_multivorans
